experiment_id,sector_id,subasset_id,algorithm,profile,horizon,holding_sessions,stock_or_etf_track,status,failure_reason,market_backtest_run,holdout_contaminated,provisional_finalist,winner,net_cagr,max_drawdown,sharpe,sortino,calmar,es95_loss,net_excess_return_mean,net_excess_return_block_ci,win_rate,payoff_ratio,median_return,worst_decile,rank_ic,benchmark_beat_rate,mean_exposure,peak_exposure,turnover,empty_selection_day_fraction,cost_2x_return,cost_4x_return,independent_events,raw_signals,deduped_events,data_missing_rejections,pit_qualify_rate,delisted_coverage,history_coverage
etfs__broad_equity__A_trend_quality__conservative__short,etfs,broad_equity,A_trend_quality,conservative,short,5,etf,DATA_INSUFFICIENT,"No licensed point-in-time US daily tape, delist file, corporate-action journal, or historical venue/industry vintages were verified in this environment.",False,,False,False,,,,,,,,,,,,,,,,,,,,,,0,0,,,,
etfs__broad_equity__A_trend_quality__conservative__mid,etfs,broad_equity,A_trend_quality,conservative,mid,20,etf,DATA_INSUFFICIENT,"No licensed point-in-time US daily tape, delist file, corporate-action journal, or historical venue/industry vintages were verified in this environment.",False,,False,False,,,,,,,,,,,,,,,,,,,,,,0,0,,,,
etfs__broad_equity__A_trend_quality__conservative__long,etfs,broad_equity,A_trend_quality,conservative,long,63,etf,DATA_INSUFFICIENT,"No licensed point-in-time US daily tape, delist file, corporate-action journal, or historical venue/industry vintages were verified in this environment.",False,,False,False,,,,,,,,,,,,,,,,,,,,,,0,0,,,,
etfs__broad_equity__A_trend_quality__balanced__short,etfs,broad_equity,A_trend_quality,balanced,short,5,etf,DATA_INSUFFICIENT,"No licensed point-in-time US daily tape, delist file, corporate-action journal, or historical venue/industry vintages were verified in this environment.",False,,False,False,,,,,,,,,,,,,,,,,,,,,,0,0,,,,
etfs__broad_equity__A_trend_quality__balanced__mid,etfs,broad_equity,A_trend_quality,balanced,mid,20,etf,DATA_INSUFFICIENT,"No licensed point-in-time US daily tape, delist file, corporate-action journal, or historical venue/industry vintages were verified in this environment.",False,,False,False,,,,,,,,,,,,,,,,,,,,,,0,0,,,,
etfs__broad_equity__A_trend_quality__balanced__long,etfs,broad_equity,A_trend_quality,balanced,long,63,etf,DATA_INSUFFICIENT,"No licensed point-in-time US daily tape, delist file, corporate-action journal, or historical venue/industry vintages were verified in this environment.",False,,False,False,,,,,,,,,,,,,,,,,,,,,,0,0,,,,
etfs__broad_equity__A_trend_quality__aggressive__short,etfs,broad_equity,A_trend_quality,aggressive,short,5,etf,DATA_INSUFFICIENT,"No licensed point-in-time US daily tape, delist file, corporate-action journal, or historical venue/industry vintages were verified in this environment.",False,,False,False,,,,,,,,,,,,,,,,,,,,,,0,0,,,,
etfs__broad_equity__A_trend_quality__aggressive__mid,etfs,broad_equity,A_trend_quality,aggressive,mid,20,etf,DATA_INSUFFICIENT,"No licensed point-in-time US daily tape, delist file, corporate-action journal, or historical venue/industry vintages were verified in this environment.",False,,False,False,,,,,,,,,,,,,,,,,,,,,,0,0,,,,
etfs__broad_equity__A_trend_quality__aggressive__long,etfs,broad_equity,A_trend_quality,aggressive,long,63,etf,DATA_INSUFFICIENT,"No licensed point-in-time US daily tape, delist file, corporate-action journal, or historical venue/industry vintages were verified in this environment.",False,,False,False,,,,,,,,,,,,,,,,,,,,,,0,0,,,,
etfs__broad_equity__B_confirmed_base_breakout__conservative__short,etfs,broad_equity,B_confirmed_base_breakout,conservative,short,5,etf,DATA_INSUFFICIENT,"No licensed point-in-time US daily tape, delist file, corporate-action journal, or historical venue/industry vintages were verified in this environment.",False,,False,False,,,,,,,,,,,,,,,,,,,,,,0,0,,,,
